rwe_type,rwe_closure_type,rwe_status,rwe_start_dt,rwe_end_dt,rwe_publish_text,subject_pref_rdname,traffic_delay,speed_limit,lanes_affected
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH OUT-SOUTH GIPPSLAND OUT RAMP OF,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,METROPOLITAN RING ROAD ,0 to 5 min,40,2
Road construction,3 lanes closed inbound,Pending,2018-07-04T08:30:00,2018-10-30T19:30:00,Full week including weekends - Sunday to Saturday daily works from 06:30 PM to 06:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,0 to 5 min,40,3
Road construction, road closed,Active,2018-05-24T21:00:00,2019-04-17T21:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 60 km/h. Traffic delay nil. ,SUTHERLAND ROAD ,Nil,60,0
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH OUT-SOUTH GIPPSLAND OUT RAMP OF,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,2
Road construction, road closed,Pending,2018-07-13T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE IN-WESTERN RING OUT RAMP ,0 to 5 min,40,0
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,2
Road maintenance,1 lane closed outbound,Pending,2018-07-24T23:30:00,2018-08-31T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-06-02T14:00:00,2022-12-30T13:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit nil. Traffic delay nil. ,FOOTSCRAY ROAD ,Nil,0,0
Road maintenance, road closed,Pending,2018-07-12T14:00:00,2018-09-30T14:00:00,Weekdays only - Monday to Friday daily works from 12:00 AM to 12:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,FITZROY STREET ,6 to 10 min,40,0
Road maintenance,1 lane closed inbound,Pending,2018-08-07T23:30:00,2018-09-30T07:00:00,Monday to Saturday daily works from 09:30 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,JETTY ROAD ,0 to 5 min,40,1
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,2
Road maintenance, expect delays,Pending,2018-07-11T06:23:00,2018-12-21T07:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,MAIN ROAD ,6 to 10 min,40,0
Road construction,1 lane closed both directions,Pending,2018-07-09T20:00:00,2018-09-30T08:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,1
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,2
Road maintenance,2 lanes closed both directions,Pending,2018-05-31T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,2
Road construction,2 lanes closed inbound,Pending,2018-07-11T10:30:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING IN-TULLAMARINE OUT RAMP ,0 to 5 min,40,2
Road construction,1 lane closed northbound,Pending,2018-05-06T20:30:00,2018-08-31T08:00:00,Monday to Saturday daily works from 06:30 AM to 06:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,60,1
Road maintenance, lanes closed westbound,Pending,2018-04-09T23:30:00,2018-10-10T05:00:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay nil. ,FRANKSTON FREEWAY ,Nil,40,0
Road maintenance,1 lane closed inbound,Pending,2018-04-14T23:30:00,2019-04-15T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-07-25T23:30:00,2018-08-30T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH OUT-SOUTH GIPPSLAND OUT RAMP OF,0 to 5 min,40,1
Road maintenance,1 lane closed outbound,Pending,2018-07-31T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed inbound,Pending,2018-07-31T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction, expect delays,Active,2018-06-29T14:00:00,2019-02-10T13:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,WESTERN RING IN-PRINCES OUT RAMP ,6 to 10 min,60,0
Road construction,3 lanes closed inbound,Pending,2018-04-30T08:30:00,2018-09-14T23:00:00,Full week including weekends - Sunday to Saturday daily works from 06:30 PM to 09:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,0 to 5 min,40,3
Road maintenance,1 lane closed both directions,Pending,2018-07-27T21:00:00,2018-08-31T05:30:00,Weekend only - Saturday and Sunday daily works from 07:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed outbound,Pending,2018-08-07T21:00:00,2018-09-30T05:30:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed outbound,Pending,2018-07-31T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road maintenance, lanes closed southbound,Pending,2018-03-14T20:30:00,2018-12-20T06:30:00,Full week including weekends - Sunday to Saturday daily works from 07:30 AM to 05:30 PM. Roadworks speed limit nil. Traffic delay nil. ,PRINCES FREEWAY ,Nil,0,0
Road construction, road closed,Pending,2018-07-11T12:00:00,2018-09-29T19:00:00,Weekdays only - Monday to Friday daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PLENTY ROAD ,0 to 5 min,40,0
Road maintenance,1 lane closed outbound,Active,2018-06-11T20:30:00,2018-09-03T07:30:00,Weekdays only - Monday to Friday daily works from 06:30 AM to 05:30 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,60,1
Road maintenance,1 lane closed both directions,Pending,2018-07-16T21:00:00,2018-09-30T07:30:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-06-11T20:00:00,2018-09-30T08:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,60,1
Road construction,2 lanes closed outbound,Active,2017-04-30T10:00:00,2018-09-14T20:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,0 to 5 min,40,2
Road maintenance,1 lane closed both directions,Pending,2018-08-09T23:00:00,2018-09-30T05:00:00,Weekdays only - Monday to Friday daily works from 09:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,KOO WEE RUP ROAD ,6 to 10 min,40,1
Road maintenance,2 lanes closed westbound,Pending,2018-08-20T11:00:00,2018-08-23T18:30:00,Weekdays only - Monday to Friday daily works from 09:00 PM to 04:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,2
Utility works, road closed,Pending,2018-08-18T23:00:00,2018-11-29T22:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 09:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HOLDEN STREET ,0 to 5 min,40,0
Road construction,1 lane closed inbound,Active,2018-08-19T11:00:00,2018-11-18T19:00:00,other daily works from 09:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-07-19T20:00:00,2018-11-14T07:00:00,Monday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,40,1
Utility works,2 lanes closed both directions,Pending,2018-05-04T14:00:00,2019-08-31T14:00:00,"Melbourne Water sewer upgrade works are underway along Beach Rd. Works will be undertaken at various locations with one lane closed in each direction. These works will continue 24/7 until the start of September. Delays of up to 10 mins are expected, please allow extra time. ",ESPLANADE  ,6 to 10 min,40,2
Road construction, expect delays,Active,2018-06-29T14:00:00,2019-02-10T13:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,PRINCES IN-WESTERN RING OUT RAMP ,6 to 10 min,60,0
Road maintenance, expect delays,Pending,2018-08-02T21:30:00,2018-08-30T07:30:00,Full week including weekends - Sunday to Saturday daily works from 07:30 AM to 05:30 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,CRAIGIEBURN ROAD ,6 to 10 min,40,0
Road maintenance,1 lane closed outbound,Pending,2018-07-29T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed outbound,Pending,2018-06-30T20:00:00,2018-09-30T08:00:00,Monday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed eastbound,Pending,2018-08-02T23:30:00,2018-08-30T03:00:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 01:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,0 to 5 min,60,1
Road maintenance,2 lanes closed eastbound,Pending,2018-08-20T11:00:00,2018-08-23T18:30:00,Weekdays only - Monday to Friday daily works from 09:00 PM to 04:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,2
Road construction, road closed,Pending,2018-03-12T20:00:00,2018-09-30T07:00:00,Monday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,SOUTH GIPPSLAND HIGHWAY ,0 to 5 min,40,0
Road maintenance,1 lane closed westbound,Pending,2018-08-02T23:30:00,2018-08-31T04:30:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 02:30 PM. Roadworks speed limit 80 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,80,1
Road construction,1 lane closed eastbound,Pending,2018-08-24T11:00:00,2018-08-24T14:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 12:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road maintenance, road closed,Pending,2018-07-24T10:30:00,2018-09-29T19:00:00,other daily works from 08:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES HIGHWAY ,0 to 5 min,40,3
Road maintenance,1 lane closed northbound,Pending,2018-07-05T20:00:00,2018-10-30T07:00:00,Monday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,HUME FREEWAY ,0 to 5 min,60,1
Utility works,all lanes closed eastbound,Pending,2018-07-18T11:00:00,2018-10-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HIGH STREET ,0 to 5 min,40,0
Road maintenance,1 lane closed both directions,Pending,2018-04-30T20:30:00,2018-08-31T07:00:00,Full week including weekends - Sunday to Saturday daily works from 06:30 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,1
Road construction, expect delays,Pending,2018-06-24T20:30:00,2018-12-31T07:30:00,Monday to Saturday daily works from 06:30 AM to 06:30 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,PRINCES HIGHWAY ,6 to 10 min,40,0
Road construction,3 lanes closed outbound,Active,2018-08-15T08:30:00,2018-09-14T20:00:00,Full week including weekends - Sunday to Saturday daily works from 06:30 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay nil. ,CITYLINK  ,Nil,40,3
Road construction,3 lanes closed outbound,Pending,2018-06-30T09:00:00,2018-09-02T19:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,3
Road construction, entry/exit ramp closed,Pending,2018-06-03T10:00:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,ENGLISH-TULLAMARINE OUT RAMP ON,0 to 5 min,40,0
Road maintenance,1 lane closed both directions,Pending,2017-12-31T20:00:00,2018-10-31T06:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-01-31T20:00:00,2018-09-30T07:00:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TYERS STREET ,0 to 5 min,40,1
Road maintenance,1 lane closed westbound,Pending,2018-08-20T11:00:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday daily works from 09:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road maintenance, road closed,Pending,2018-08-13T10:00:00,2018-12-29T18:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HIGH STREET ,0 to 5 min,40,0
Road construction,1 lane closed southbound,Pending,2018-07-21T10:00:00,2018-08-31T06:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MELROSE-TULLAMARINE IN RAMP ON,0 to 5 min,40,1
Road maintenance,1 lane closed northbound,Pending,2018-01-24T10:00:00,2021-12-30T18:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,0 to 5 min,40,1
Road construction, road closed,Pending,2018-08-12T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CHILDS ROAD ,0 to 5 min,40,0
Road maintenance,3 lanes closed both directions,Pending,2018-08-08T10:00:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WARRIGAL ROAD ,Greater than 10 min,40,3
Road maintenance,1 lane closed eastbound,Pending,2018-05-28T23:30:00,2018-08-30T06:00:00,Weekdays only - Monday to Friday daily works from 09:30 AM to 04:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,40,1
Road construction,1 lane closed both directions,Pending,2018-08-06T21:00:00,2018-11-30T07:00:00,Monday to Saturday daily works from 07:00 AM to 06:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,0 to 5 min,60,1
Road construction, road closed,Pending,2018-08-12T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,GREVILLIA DRIVE ,0 to 5 min,40,0
Road construction, road closed,Pending,2018-08-12T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MAYFIELD DRIVE ,0 to 5 min,40,0
Road maintenance, expect delays,Pending,2018-05-06T20:00:00,2018-09-28T08:00:00,Weekdays only - Monday to Friday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,THOMSON VALLEY ROAD ,6 to 10 min,40,1
Road maintenance,3 lanes closed both directions,Pending,2018-08-08T10:00:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,HIGHBURY ROAD ,Greater than 10 min,40,3
Road maintenance,3 lanes closed both directions,Pending,2018-08-08T10:00:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,RIVERSDALE ROAD ,Greater than 10 min,40,3
Road construction, road closed,Pending,2018-08-20T12:00:00,2018-08-23T19:00:00,Williamstown Rd southbound nightly full closure under West Gate Fwy 10PM to 5AM. Detour via West Gate Bridge. ,WILLIAMSTOWN ROAD ,0 to 5 min,40,0
Road construction, road closed,Pending,2018-08-20T12:00:00,2018-08-23T19:00:00,Williamstown Rd northbound nightly full closure under West Gate Fwy 10PM to 5AM. Detour via Millers Rd.,WILLIAMSTOWN ROAD ,0 to 5 min,40,0
Road construction, road closed,Pending,2018-08-12T10:00:00,2018-09-29T19:30:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,RIVERGUM DRIVE ,0 to 5 min,40,0
Utility works,2 lanes closed eastbound,Pending,2018-07-03T12:30:00,2018-09-29T18:00:00,Full week including weekends - Sunday to Saturday daily works from 10:30 PM to 04:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,2
Utility works,2 lanes closed westbound,Pending,2018-07-03T13:30:00,2018-09-29T18:00:00,Full week including weekends - Sunday to Saturday daily works from 11:30 PM to 04:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,2
Road maintenance,1 lane closed inbound,Pending,2018-08-20T10:00:00,2018-08-26T19:30:00,other daily works from 08:00 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,HUME FREEWAY ,0 to 5 min,40,1
Road maintenance,all lanes closed both directions,Active,2018-08-09T10:00:00,2018-09-13T20:00:00,Nightly lane closures from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BALLARAT ROAD ,0 to 5 min,40,0
Road maintenance, road closed,Pending,2018-08-09T10:00:00,2018-09-13T20:00:00,Nightly works between 8pm-6am. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BALLARAT ROAD ,0 to 5 min,40,0
Utility works,1 lane closed westbound,Pending,2018-07-03T12:30:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday daily works from 10:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,Greater than 10 min,40,1
Road construction, entry/exit ramp closed,Pending,2018-08-15T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,WESTERN RING IN-TULLAMARINE OUT RAMP ,0 to 5 min,60,0
Road maintenance,1 lane closed northbound,Pending,2018-05-15T21:00:00,2018-10-31T06:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,60,1
Road maintenance,1 lane closed inbound,Pending,2018-08-22T23:00:00,2018-10-11T06:00:00,Monday to Saturday daily works from 09:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-05-02T20:00:00,2018-08-30T08:00:00,Full week including weekends - Sunday to Saturday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,40,1
Road construction,1 lane closed eastbound,Pending,2018-08-05T14:00:00,2019-02-10T13:00:00,other daily works from 12:00 AM to 12:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING IN-PRINCES OUT RAMP ,0 to 5 min,40,1
Road maintenance,1 lane closed both directions,Pending,2018-08-14T21:00:00,2018-09-28T05:00:00,Monday to Saturday daily works from 07:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,0 to 5 min,40,1
Road construction,2 lanes closed westbound,Pending,2018-08-18T21:00:00,2018-08-26T05:00:00,Crane works on Victoria Street from 7AM to 3PM on Sunday 26/08. 2 west bound lanes open for traffic to go through the site. Traffic delay is expected from 0 to 5 minutes.,VICTORIA STREET ,Nil,40,2
Utility works, road closed,Active,2018-08-20T09:00:00,2018-08-23T19:00:00,Weekdays only - Monday to Friday daily works from 07:00 PM to 05:00 AM. Roadworks speed limit nil. Traffic delay 0 to 5 min. ,BAILLIE STREET ,0 to 5 min,0,0
Road construction,1 lane closed westbound,Pending,2018-08-05T14:00:00,2019-02-10T13:00:00,other daily works from 12:00 AM to 12:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,60,1
Road construction,1 lane closed eastbound,Pending,2018-08-05T14:00:00,2019-02-10T13:00:00,other daily works from 12:00 AM to 12:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,0 to 5 min,60,1
Road construction, road closed,Active,2018-08-08T14:00:00,2018-09-29T14:00:00,Full Closure Buckley Street between Cliff street and Mount Alexander Rd  Friday 9 August from 07.00pm to Sunday 30 September 06.00am. Roadworks speed limit 40 km/h. Traffic delay 10 to 15 min ,BUCKLEY STREET ,6 to 10 min,40,0
Road construction, entry/exit ramp closed,Active,2018-07-29T10:00:00,2018-09-29T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING IN-TULLAMARINE IN RAMP ,0 to 5 min,40,0
Road construction, road closed,Active,2018-03-05T13:00:00,2018-08-31T13:59:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit nil. Traffic delay greater than 10 min. ,WARREN STREET ,Greater than 10 min,0,0
Road construction,1 lane closed northbound,Pending,2018-08-06T09:00:00,2018-09-05T19:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,FRANKSTON FREEWAY ,0 to 5 min,40,1
Road construction,1 lane closed westbound,Pending,2018-08-19T10:00:00,2018-11-18T18:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES OUT-FORSYTH RAMP OF,0 to 5 min,40,1
Road maintenance,1 lane closed inbound,Pending,2018-06-20T20:00:00,2018-08-30T08:00:00,Weekdays only - Monday to Friday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CALDER FREEWAY ,0 to 5 min,40,1
Road maintenance,2 lanes closed both directions,Pending,2018-06-30T14:00:00,2018-09-30T13:59:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 11:59 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,0 to 5 min,40,2
Road maintenance,1 lane closed southbound,Pending,2018-08-01T21:30:00,2018-10-01T06:30:00,other daily works from 07:30 AM to 04:30 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,ROSANNA ROAD ,Greater than 10 min,40,1
