lat,lon,name,female,male,wheelchair,operator,baby_facil,location
-37.79812546150608,144.92642466756246,"Public Toilet - Toilet 162 - JJ Holland Park (Opposite, 48 Altona Street)",yes,yes,yes,City of Melbourne,no,"(-37.79812546150608, 144.92642466756246)"
-37.83393826633729,144.9817840463506,Public Toilet - Toilet 103 - Kings Domain South (Opposite 169 Domain Road),yes,yes,yes,City of Melbourne,no,"(-37.83393826633729, 144.9817840463506)"
-37.81859887229392,144.97105956826815,Public Toilet - Toilet 48 - Birrarung Marr (Opposite Artplay),yes,yes,yes,City of Melbourne,no,"(-37.81859887229392, 144.97105956826815)"
-37.80207629420745,144.96642403988702,Public Toilet - Toilet 178 -  Argyle Place North (Opposite 4 Argyle Place North),yes,yes,yes,City of Melbourne,no,"(-37.80207629420745, 144.96642403988702)"
-37.79251146448698,144.95685172084129,Public Toilet - Toilet 100 - Royal Park - Native Garden (off Gatehouse Street),yes,yes,yes,City of Melbourne,no,"(-37.79251146448698, 144.95685172084129)"
-37.82034212858627,144.96421972799456,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),yes,yes,yes,City of Melbourne,no,"(-37.82034212858627, 144.96421972799456)"
-37.81324543360198,144.9668965896814,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),yes,yes,yes,City of Melbourne,no,"(-37.81324543360198, 144.9668965896814)"
-37.82289159858857,144.975280957334,Public Toilet - Toilet 109 - Kings Domain Myer Music Bowl Rear of,yes,yes,yes,City of Melbourne,yes,"(-37.82289159858857, 144.975280957334)"
-37.795523148389,144.95214296280201,"Public Toilet - Toilet 55 - Royal Park (Nature Play, Opposite 51 Gatehouse Street)",yes,yes,yes,City of Melbourne,no,"(-37.795523148389, 144.95214296280201)"
-37.8203552728411,144.9733129088743,Public Toilet - Toilet 112 - Alexandra Gardens (Riverslide Skate Park),yes,yes,yes,City of Melbourne,no,"(-37.8203552728411, 144.9733129088743)"
-37.80271182455448,144.96226812695767,Public Toilet - Toilet 179 - Lincoln Square (138-142 Bouverie Street),yes,yes,yes,City of Melbourne,no,"(-37.80271182455448, 144.96226812695767)"
-37.83085748664953,144.97516941294074,Public Toilet - Toilet 104 - Kings Domain South (off Birdwood Avenue),yes,yes,yes,City of Melbourne,no,"(-37.83085748664953, 144.97516941294074)"
-37.81790319705616,144.9662642552638,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),yes,yes,yes,City of Melbourne,no,"(-37.81790319705616, 144.9662642552638)"
-37.79679899805757,144.95196665126468,Public Toilet - Toilet 136 - Ievers Reserve - Flemington Road,yes,yes,yes,City of Melbourne,no,"(-37.79679899805757, 144.95196665126468)"
