FID,rwe_id,rwe_type,rwe_closure_type,rwe_status,rwe_start_dt,rwe_end_dt,rwe_publish_text,subject_pref_rdname,start_pref_rdname,end_pref_rdname,lrs_start_locality,lrs_end_locality,lrs_rmaclass,lrs_srns,lrs_lga,lrs_ses_region,lrs_melway,lrs_vcsd,geom,works_type,traffic_delay,speed_limit,lanes_affected,days_applicable,dt_modified,dt_created,rwe_point,timestamp,processed_time
rwe_point.181218,181218,Road maintenance,all lanes closed southbound,Pending,2018-07-17T10:30:00,2018-09-03T19:30:00,other daily works from 08:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,CRANBOURNE-NARRE WARREN ROAD ,NORFOLK DRIVE ,NORFOLK DRIVE ,NARRE WARREN,NARRE WARREN,AO,C404,CASEY,MELBOURNE METROPOLITAN (CENTRAL),110 E8,448 J9,line,daily works,0 to 5 min,40,0,1;2;7,2018-07-22T18:22:23,2018-07-09T22:14:22,POINT (145.305547712898 -38.0346697325834),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.178960,178960,Utility works,1 lane closed both directions,Pending,2018-05-28T10:15:00,2018-09-29T19:00:00,Full week including weekends - Sunday to Saturday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,CLYDE ROAD ,CARDINIA ROAD ,BERWICK,OFFICER,FW,M1,"CASEY, CARDINIA",MELBOURNE METROPOLITAN (CENTRAL),111 C11,95 G2,line,continuous works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-10T20:49:00,2018-05-25T07:06:17,POINT (145.384889547048 -38.0701723895117),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.180078,180078,Road construction,1 lane closed both directions,Pending,2018-07-01T23:00:00,2018-11-19T06:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,JETTY ROAD ,NEPEAN HIGHWAY ,ROSEBUD,DROMANA,FW,M11,MORNINGTON PENINSULA,MELBOURNE METROPOLITAN (CENTRAL),170 F4,466 K4,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-23T05:10:58,2018-06-19T00:58:20,POINT (144.946607900339 -38.3450484965031),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.176836,176836,Road construction,3 lanes closed greensborough bound,Pending,2018-07-11T09:30:00,2018-08-30T20:00:00,Full week including weekends - Sunday to Saturday daily works from 07:30 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,WESTERN RING OUT-AIRPORT RAMP OF,MELROSE DRIVE ,TULLAMARINE,TULLAMARINE,FW,M80,"MORELAND, BRIMBANK, HUME",MELBOURNE METROPOLITAN (CENTRAL),15 G6,436 G3,line,daily works,0 to 5 min,40,3,1;2;3;4;5;7;6,2018-08-16T06:48:12,2018-04-13T06:16:29,POINT (144.879332272055 -37.7126434824657),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.176373,176373,Road maintenance,1 lane closed northbound,Pending,2018-04-06T21:00:00,2018-08-31T07:00:00,other daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,MCINTYRE ROAD ,BUCKLEY AVENUE ,ALVINA STREET ,SUNSHINE NORTH,SUNSHINE NORTH,AO,,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),26 H6,78 F6,line,daily works,Greater than 10 min,40,1,7,2018-07-08T20:40:03,2018-05-08T00:41:46,POINT (144.831955303824 -37.7595650551576),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.172238,172238,Road maintenance,1 lane closed both directions,Pending,2017-12-31T20:00:00,2018-10-31T06:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN FREEWAY ,MOUNT COTTRELL ROAD ,HOPETOUN PARK ROAD ,MELTON SOUTH,HOPETOUN PARK,FW,M8,"MELTON, MOORABOOL","GRAMPIANS (MID WEST), MELBOURNE METROPOLITAN (CENTRAL)",344 B3,78 C5,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-10T23:46:57,2018-01-15T05:36:36,POINT (144.564000121152 -37.6900006026154),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182588,182588,Road maintenance,1 lane closed inbound,Pending,2018-08-09T01:00:00,2018-08-30T04:00:00,Weekdays only - Monday to Friday daily works from 11:00 AM to 02:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,MONASH FREEWAY ,TOORONGA ROAD ,TOORAK ROAD ,GLEN IRIS,KOOYONG,FW,M1,STONNINGTON,MELBOURNE METROPOLITAN (CENTRAL),59 F6,79 B7,line,daily works,0 to 5 min,60,1,1;2;3;4;5,2018-08-15T02:10:14,2018-08-06T23:07:27,POINT (145.042316983989 -37.847922187954),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182232,182232,Road maintenance,1 lane closed outbound,Pending,2018-07-29T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,BEACONSFIELD-NAR NAR GOON,OFFICER SOUTH ROAD ,BERWICK,OFFICER,FW,M1,CARDINIA,MELBOURNE METROPOLITAN (CENTRAL),214 C6,95 H3,line,continuous works,0 to 5 min,40,1,1;2;3;4;5,2018-07-28T21:41:47,2018-07-28T21:37:39,POINT (145.395665134524 -38.0733230696795),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182233,182233,Road maintenance,1 lane closed inbound,Pending,2018-07-29T23:30:00,2018-09-28T05:30:00,Weekdays only - Monday to Friday continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,TYNONG ROAD ,SNELL ROAD ,TYNONG,NAR NAR GOON,FW,M1,CARDINIA,MELBOURNE METROPOLITAN (CENTRAL),320 E6,96 B3,line,continuous works,0 to 5 min,40,1,1;2;3;4;5,2018-08-06T03:27:18,2018-07-28T22:07:32,POINT (145.604691445355 -38.0678457721286),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181857,181857,Road maintenance, road closed,Pending,2018-07-28T09:30:00,2019-07-29T23:00:00,Burnley Tunnel Full closure 10:00PM Saturday night 28th July to 8:00AM Sunday morning 29th July.,BURNLEY TUNNEL ,ST KILDA ROAD ,WEST GATE IN-KINGS RAMP OF,MELBOURNE,SOUTHBANK,FW,M1,MELBOURNE,MELBOURNE METROPOLITAN (CENTRAL),43 J11,437 B9,line,daily works,0 to 5 min,40,0,6;7,2018-07-28T21:09:47,2018-07-20T04:51:23,POINT (144.9674205998 -37.8260327681677),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181611,181611,Road construction, entry/exit ramp closed,Pending,2018-08-22T10:30:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday daily works from 08:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,FURLONG-WESTERN RING OUT RAMP ON,FURLONG ROAD ,WESTERN RING ROAD ,ST ALBANS,ST ALBANS,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),26 E6,78 F6,line,daily works,Greater than 10 min,40,0,1;2;3;4;5,2018-07-16T23:06:46,2018-07-16T23:02:29,POINT (144.821289202569 -37.7596626072549),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181612,181612,Road construction, entry/exit ramp closed,Pending,2018-08-22T10:30:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday daily works from 08:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING OUT-SUNSHINE RAMP OF,WESTERN RING ROAD ,SUNSHINE AVENUE ,ST ALBANS,KEALBA,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),26 G3,78 F6,line,daily works,Greater than 10 min,40,0,1;2;3;4;5,2018-07-16T23:12:22,2018-07-16T23:09:56,POINT (144.83070987381 -37.7513215667752),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181613,181613,Road construction,1 lane closed greensborough bound,Pending,2018-08-22T10:30:00,2018-08-23T19:30:00,Weekdays only - Monday to Friday  from 08:30 PM to 05:30 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,FURLONG ROAD ,SUNSHINE AVENUE ,ST ALBANS,KEALBA,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),26 E6,78 F6,line,daily works,Greater than 10 min,40,1,1;2;3;4;5,2018-07-16T23:22:38,2018-07-16T23:19:45,POINT (144.825624388738 -37.7552611305606),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.182474,182474,Road construction,1 lane closed northbound,Pending,2018-08-05T21:00:00,2018-08-31T07:00:00,"We�re adding an extra lane to Warrandyte Bridge to ease traffic flow and make it safer for the community.At times, lanes will be closed and speeds will be reduced as we carry out these important works. Plan for delays on Yarra St and Kangaroo Ground - Warrandyte Rd until the end of September 2018.",KANGAROO GROUND-WARRANDYTE ROAD ,CASTLE ROAD ,YARRA STREET ,NORTH WARRANDYTE,WARRANDYTE,AO,,"NILLUMBIK, MANNINGHAM",MELBOURNE METROPOLITAN (CENTRAL),23 F10,438 E4,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-23T04:26:45,2018-08-03T01:30:29,POINT (145.222492070778 -37.7354657481613),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.183210,183210,Road maintenance, expect delays,Pending,2018-05-06T20:00:00,2018-09-28T08:00:00,Weekdays only - Monday to Friday daily works from 06:00 AM to 06:00 PM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,GLENGARRY WEST ROAD ,TRARALGON-MAFFRA ROAD ,LLOYD-PRINCES OUT RAMP ON,GLENGARRY,MOE,AO,"C103, C481",LATROBE,GIPPSLAND (EAST),,98 A4,line,daily works,6 to 10 min,40,0,1;2;3;4;5,2018-08-19T21:57:29,2018-08-19T21:52:29,POINT (146.395117232868 -38.1620794756632),2018-08-23T15:13:28,2018-08-23T15:15:30.772
