FID,rwe_id,rwe_type,rwe_closure_type,rwe_status,rwe_start_dt,rwe_end_dt,rwe_publish_text,subject_pref_rdname,start_pref_rdname,end_pref_rdname,lrs_start_locality,lrs_end_locality,lrs_rmaclass,lrs_srns,lrs_lga,lrs_ses_region,lrs_melway,lrs_vcsd,geom,works_type,traffic_delay,speed_limit,lanes_affected,days_applicable,dt_modified,dt_created,rwe_point,timestamp,processed_time
rwe_point.160371,160371,Road construction, entry/exit ramp closed,Pending,2018-06-28T11:30:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 09:30 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,BULLA-TULLAMARINE OUT RAMP ON,BULLA-CALDER OUT RAMP ON,TULLAMARINE FREEWAY ,ESSENDON NORTH,AIRPORT WEST,FW,,MOONEE VALLEY,MELBOURNE METROPOLITAN (CENTRAL),16C10,436J4,line,daily works,0 to 5 min,60,0,1;2;3;4;5;7;6,2018-08-23T03:17:14,2017-04-27T04:26:23,POINT (144.891377840585 -37.7349789489646),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181403,181403,Road maintenance, road closed,Pending,2018-08-10T10:00:00,2018-09-13T20:00:00,Nightly works between 8:00pm and 6:00am. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BALLARAT ROAD ,CHURCHILL AVENUE ,ASHLEY STREET ,MAIDSTONE,BRAYBROOK,AO,,MARIBYRNONG,MELBOURNE METROPOLITAN (CENTRAL),27 F12,78 F6,line,daily works,0 to 5 min,40,0,1;2;3;4;7,2018-08-16T00:07:44,2018-07-12T01:19:37,POINT (144.866962705212 -37.7820986383967),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165933,165933,Road construction, lanes closed outbound,Pending,2018-08-15T10:00:00,2018-10-12T19:00:00,other daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,WEST GATE OUT-WESTERN RING OUT RAMP ,WESTERN RING IN-PRINCES OUT RAMP ,ALTONA NORTH,ALTONA NORTH,FW,M1,HOBSONS BAY,MELBOURNE METROPOLITAN (CENTRAL),40 F11,78 F7,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7,2018-08-14T08:01:17,2017-08-24T06:39:56,POINT (144.815778656928 -37.8293203711343),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.160155,160155,Road construction,1 lane closed outbound,Pending,2017-04-19T08:00:00,2018-08-30T23:30:00,Full week including weekends - Sunday to Saturday daily works from 06:00 PM to 09:30 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,PRINCES OUT-CLYDE RAMP OF,BALD HILL ROAD ,BERWICK,PAKENHAM,FW,M1,"CARDINIA, CASEY",MELBOURNE METROPOLITAN (CENTRAL),111B11,448K9,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-31T07:51:36,2017-04-21T00:10:02,POINT (145.419193781656 -38.0767784375255),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.161253,161253,Road construction, entry/exit ramp closed,Active,2018-08-09T10:00:00,2018-08-30T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE FREEWAY ,TERMINAL DRIVE ,TULLAMARINE IN-CENTRE RAMP ,MELBOURNE AIRPORT,MELBOURNE AIRPORT,FW,,HUME,MELBOURNE METROPOLITAN (CENTRAL),5D6,426G13,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-23T12:28:55,2017-05-16T23:19:03,POINT (144.856423788626 -37.6732731477206),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.163717,163717,Road construction, entry/exit ramp closed,Pending,2018-08-16T10:00:00,2018-08-30T19:00:00,Weekdays only - Monday to Friday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,TULLAMARINE OUT-MICKLEHAM RAMP OF,TULLAMARINE FREEWAY ,MICKLEHAM ROAD ,TULLAMARINE,TULLAMARINE,FW,,HUME,MELBOURNE METROPOLITAN (CENTRAL),5K11,436H2,line,daily works,0 to 5 min,60,0,1;2;3;4;5,2018-08-20T04:08:19,2017-07-10T03:49:44,POINT (144.883683198726 -37.6926874416399),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.163107,163107,Road construction,1 lane closed altona bound,Active,2017-06-26T10:30:00,2018-09-11T20:00:00,other daily works from 08:30 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,KEILOR PARK-WESTERN RING IN RAMP ON,SUNSHINE AVENUE ,KEILOR EAST,SUNSHINE NORTH,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),15B12,436F5,line,daily works,0 to 5 min,40,1,1;2;3;4;5;6;7,2018-08-23T10:33:51,2017-06-22T23:50:38,POINT (144.840305632967 -37.7457944404602),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.161089,161089,Road maintenance,1 lane closed both directions,Pending,2017-05-14T23:00:00,2018-08-31T05:30:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,CALDER IN-WESTERN RING OUT RAMP ,WESTERN RING OUT-SUNSHINE RAMP OF,KEILOR PARK,ST ALBANS,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),15E7,436G4,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-27T04:07:13,2017-05-12T06:07:19,POINT (144.848557003245 -37.7407863900212),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.163914,163914,Road construction, road closed,Pending,2018-07-09T10:00:00,2019-06-29T20:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,CORRIGAN ROAD ,CRAVEN STREET ,LIGHTWOOD ROAD ,NOBLE PARK,NOBLE PARK,MU,,DANDENONG,MELBOURNE METROPOLITAN (CENTRAL),80D12,448C5,line,daily works,6 to 10 min,40,3,1;2;3;4;5;7;6,2018-08-06T04:14:45,2017-07-12T23:16:17,POINT (145.169184090914 -37.9612898837621),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.174023,174023,Utility works, road closed,Pending,2018-06-16T23:30:00,2019-01-20T04:30:00,Road is closed for gas main renewal works. ,GLENCAIRN AVENUE ,TOORAK ROAD ,KALANG ROAD ,CAMBERWELL,CAMBERWELL,MU,,BOROONDARA,MELBOURNE METROPOLITAN (CENTRAL),60 D5,437 G10,line,daily works,0 to 5 min,40,2,1;2;3;4;5;7;6,2018-06-16T03:35:43,2018-02-21T20:54:35,POINT (145.081232857213 -37.8462841069529),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165912,165912,Road maintenance,1 lane closed westbound,Pending,2017-11-02T23:00:00,2018-09-26T05:30:00,Weekdays only - Monday to Friday daily works from 10:00 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WESTERN RING ROAD ,SYDNEY ROAD ,HUME-WESTERN RING IN RAMP ON,FAWKNER,GLENROY,FW,M80,"MORELAND, HUME",MELBOURNE METROPOLITAN (CENTRAL),7 F11,78 H5,line,daily works,0 to 5 min,40,1,1;2;3;4;5,2018-02-20T06:48:07,2017-08-24T04:20:01,POINT (144.955359920577 -37.6921303264406),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.150317,150317,Road construction,2 lanes closed greensborough bound,Pending,2016-10-31T10:30:00,2018-09-11T19:00:00,"Up to two lanes closed Greensborough-bound on the EJ Whitten Bridge Friday and Saturday night (1 and 2 Sept) 8.30pm until 5.30am. Roadworks speed limit 40 km/h. Please allow an extra 10-15 minutes, if you're travelling through the area",WESTERN RING ROAD ,SUNSHINE AVENUE ,CALDER FREEWAY ,KEALBA,KEILOR EAST,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),26H3,436F5,line,daily works,6 to 10 min,40,2,1;2;3;4;5;7;6,2018-08-19T23:19:57,2016-09-07T05:40:06,POINT (144.848045740532 -37.74116900418),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.166980,166980,Road construction, road closed,Pending,2018-08-15T21:00:00,2019-06-30T09:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 07:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MONS PARADE ,HEATHERTON ROAD ,IAN STREET ,NOBLE PARK,NOBLE PARK,MU,,DANDENONG,MELBOURNE METROPOLITAN (CENTRAL),89 E1,448 C5,line,daily works,0 to 5 min,40,0,1;2;3;4;5;7;6,2018-08-21T06:45:06,2017-09-18T00:55:20,POINT (145.175691139441 -37.9659333875151),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165421,165421,Road maintenance,1 lane closed inbound,Pending,2018-04-30T23:30:00,2018-12-31T04:30:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:30 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,NEPEAN-PENINSULA LINK IN RAMP ON,MORNINGTON PENINSULA FREEWAY ,SAFETY BEACH,MOUNT MARTHA,FW,M11,MORNINGTON PENINSULA,MELBOURNE METROPOLITAN (CENTRAL),160 D4,94 H7,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-23T06:16:21,2017-08-14T03:28:31,POINT (145.029878920409 -38.3020741804976),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165186,165186,Road construction, entry/exit ramp closed,Active,2018-07-06T11:30:00,2018-08-30T19:00:00,other daily works from 09:30 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BULLA-CALDER OUT RAMP ON,BULLA ROAD ,CALDER FREEWAY ,ESSENDON NORTH,NIDDRIE,FW,M79,MOONEE VALLEY,MELBOURNE METROPOLITAN (CENTRAL),16 E11,78 G5,line,daily works,0 to 5 min,40,0,3;4;5,2018-08-23T11:51:10,2017-08-09T06:04:08,POINT (144.898678950442 -37.7353932663098),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165120,165120,Road maintenance,1 lane closed outbound,Pending,2018-04-30T21:00:00,2018-12-31T04:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,MORNINGTON PENINSULA FREEWAY ,MORNINGTON PENINSULA FREEWAY ,NEPEAN HIGHWAY ,TUERONG,DROMANA,FW,M11,MORNINGTON PENINSULA,MELBOURNE METROPOLITAN (CENTRAL),151 K2,95 C6,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-14T05:16:06,2017-08-09T00:00:23,POINT (145.028595796572 -38.3031418623959),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.164853,164853,Utility works, entry/exit ramp closed,Pending,2018-07-25T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,KEILOR-CALDER OUT RAMP ON,CALDER OUT-KEILOR RAMP OF,CALDER FREEWAY ,NIDDRIE,NIDDRIE,FW,M79,MOONEE VALLEY,MELBOURNE METROPOLITAN (CENTRAL),15K10,436H4,line,daily works,6 to 10 min,40,0,5,2018-07-27T15:06:31,2017-08-02T04:16:05,POINT (144.881994997273 -37.7333035922418),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.168421,168421,Road construction,1 lane closed westbound,Pending,2018-08-01T10:00:00,2018-08-31T19:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,WEST GATE OUT-WESTERN RING OUT RAMP ,PRINCES FREEWAY ,LAVERTON NORTH,BROOKLYN,FW,M1,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),40 E12,78 F7,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-02T15:38:14,2017-10-18T04:33:27,POINT (144.819220336752 -37.8265531082406),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.167471,167471,Road maintenance,1 lane closed inbound,Pending,2017-09-13T00:00:00,2018-08-30T06:00:00,Weekdays only - Monday to Friday daily works from 10:00 AM to 04:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,PRINCES IN-HIGH RAMP OF,HIGH-PRINCES IN RAMP ON,LAVERTON,LAVERTON,FW,M1,HOBSONS BAY,MELBOURNE METROPOLITAN (CENTRAL),53 D11,436 C12,line,daily works,0 to 5 min,60,1,1;2;3;4;5,2018-06-19T00:20:56,2017-09-28T04:47:30,POINT (144.773839159334 -37.866645681588),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.167481,167481,Road maintenance,1 lane closed outbound,Pending,2017-09-12T22:00:00,2018-08-30T04:00:00,Weekdays only - Monday to Friday daily works from 08:00 AM to 02:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,PRINCES OUT-NEWLAND RAMP OF,NEWLAND-PRINCES OUT RAMP ON,ALTONA MEADOWS,ALTONA MEADOWS,FW,M1,HOBSONS BAY,MELBOURNE METROPOLITAN (CENTRAL),53 F10,436 C12,line,daily works,0 to 5 min,60,1,1;2;3;4;5,2018-06-26T06:09:30,2017-09-28T05:15:24,POINT (144.774825368436 -37.8661706259703),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.159223,159223,Road construction, road closed,Pending,2018-06-26T14:00:00,2019-06-30T02:00:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 12:00 PM. Roadworks speed limit nil. Traffic delay 0 to 5 min. ,RAILWAY AVENUE ,MAIN STREET ,SLATTERY PLACE ,PAKENHAM,PAKENHAM,MU,,CARDINIA,MELBOURNE METROPOLITAN (CENTRAL),317E9,449G11,line,continuous works,0 to 5 min,0,0,1;2;3;4;5;7;6,2018-08-14T10:59:43,2017-03-29T02:38:13,POINT (145.48515754185 -38.0800241218472),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.158372,158372,Utility works,3 lanes closed southbound,Pending,2017-05-01T12:00:00,2019-04-29T19:00:00,other daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,ST ALBANS ROAD ,WESTERN RING IN-WESTERN RAMP OF,SUNSHINE NORTH,ARDEER,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),26E7,436E6,line,daily works,Greater than 10 min,40,3,1;2;3;4;7,2018-05-15T15:08:55,2017-03-09T23:03:08,POINT (144.807957480648 -37.7682513159782),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.158866,158866,Utility works,3 lanes closed southbound,Pending,2017-05-01T12:00:00,2019-04-29T19:00:00,other daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,WESTERN RING ROAD ,FITZGERALD ROAD ,BOUNDARY ROAD ,SUNSHINE WEST,LAVERTON NORTH,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),39J4,436D8,line,daily works,Greater than 10 min,40,3,1;2;3;4;7,2018-03-28T00:23:56,2017-03-21T05:41:28,POINT (144.80557332507 -37.8022796956341),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.157960,157960,Utility works, road closed,Pending,2017-10-10T11:00:00,2018-12-30T18:00:00,Full week including weekends - Sunday to Saturday daily works from 10:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,GEORGE STREET ,QUEENS PARADE ,GEORGE STREET ,FITZROY NORTH,FITZROY NORTH,AO,,YARRA,MELBOURNE METROPOLITAN (CENTRAL),2CD3,437B7,line,daily works,Greater than 10 min,40,0,1;2;3;4;5;7;6,2018-02-20T06:51:45,2017-03-02T03:44:05,POINT (144.982908387264 -37.7926898309715),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.160156,160156,Road construction,1 lane closed inbound,Pending,2017-04-18T14:00:00,2018-08-30T14:00:00,Full week including weekends - Sunday to Saturday daily works from 12:00 AM to 12:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,BALD HILL ROAD ,CLYDE-PRINCES IN RAMP ON,PAKENHAM,BERWICK,FW,M1,"CARDINIA, CASEY",MELBOURNE METROPOLITAN (CENTRAL),317K11,449H11,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-31T07:51:53,2017-04-21T00:14:15,POINT (145.418616329329 -38.0769106402414),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.170349,170349,Road maintenance, road closed,Pending,2018-05-14T21:00:00,2018-08-30T07:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 AM to 05:00 PM. Roadworks speed limit 60 km/h. Traffic delay 0 to 5 min. ,SIMS STREET ,DYNON ROAD ,DYNON ROAD ,WEST MELBOURNE,WEST MELBOURNE,MU,,MELBOURNE,MELBOURNE METROPOLITAN (CENTRAL),2T B9,78 G6,line,daily works,0 to 5 min,60,1,1;2;3;4;5;7;6,2018-05-14T05:20:55,2017-11-28T02:36:27,POINT (144.911973435387 -37.8003760064551),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.169988,169988,Road construction, expect delays,Pending,2017-11-23T22:00:00,2018-10-28T04:00:00,Full week including weekends - Sunday to Saturday daily works from 09:00 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,MILLEARA ROAD ,GROVES STREET ,THE CROSSWAY  ,KEILOR EAST,KEILOR EAST,AO,,MOONEE VALLEY,MELBOURNE METROPOLITAN (CENTRAL),27 E1,436 G5,line,daily works,Greater than 10 min,40,0,1;2;3;4;5;7;6,2018-03-14T06:15:38,2017-11-23T03:30:58,POINT (144.862874772033 -37.7454949755275),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165280,165280,Road construction,1 lane closed westbound,Pending,2018-08-22T10:00:00,2018-10-30T18:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,WEST GATE OUT-WESTERN RING OUT RAMP ,WEST GATE OUT-WESTERN RING OUT RAMP ,ALTONA NORTH,ALTONA NORTH,FW,M1,HOBSONS BAY,MELBOURNE METROPOLITAN (CENTRAL),40 G11,436 F9,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7,2018-08-22T16:50:12,2017-08-10T06:04:35,POINT (144.826390029044 -37.82573048084),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165281,165281,Road construction,1 lane closed eastbound,Active,2018-08-22T10:00:00,2018-10-30T18:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,WEST GATE FREEWAY ,WEST GATE OUT-WESTERN RING OUT RAMP ,WESTERN RING IN-WEST GATE IN RAMP ,LAVERTON NORTH,BROOKLYN,FW,M1,"WYNDHAM, HOBSONS BAY",MELBOURNE METROPOLITAN (CENTRAL),40 E12,78 F7,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7,2018-08-23T09:59:11,2017-08-10T06:09:48,POINT (144.821492903013 -37.8258454985467),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.165282,165282,Road construction,1 lane closed eastbound,Pending,2018-08-15T10:00:00,2018-10-12T18:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES FREEWAY ,PRINCES IN-WESTERN RING OUT RAMP ,PRINCES IN-WESTERN RING OUT RAMP ,LAVERTON NORTH,LAVERTON NORTH,FW,M1,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),54 C1,436 E10,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-14T07:38:43,2017-08-10T06:21:28,POINT (144.810981212184 -37.832240838366),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.163104,163104,Road construction,1 lane closed greensborough bound,Active,2017-06-26T10:30:00,2018-09-11T20:00:00,One lane will be closed Greensborough-bound on the M80 Ring Road on Thursday night 9.30pm-5.30am near Sunshine Avenue. Please plan ahead and allow extra time. ,WESTERN RING ROAD ,SUNSHINE AVENUE ,WESTERN RING OUT-KEILOR PARK RAMP OF,KEALBA,KEILOR EAST,FW,M80,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),26H3,436F5,line,daily works,0 to 5 min,40,1,1;2;3;4;5;6;7,2018-08-23T10:34:06,2017-06-22T23:46:19,POINT (144.839921577676 -37.7457080646729),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.167400,167400,Road maintenance,1 lane closed southbound,Pending,2018-07-19T23:30:00,2018-12-30T04:00:00,Full week including weekends - Sunday to Saturday daily works from 09:30 AM to 03:00 PM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,FRANKSTON FREEWAY ,RUTHERFORD-EASTLINK IN RAMP ON,MOOROODUC HIGHWAY ,SEAFORD,FRANKSTON,FW,"M11, M3",FRANKSTON,MELBOURNE METROPOLITAN (CENTRAL),99 J1,95 D3,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-07-19T09:16:18,2017-09-27T03:50:34,POINT (145.136487944298 -38.1204499401324),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.170466,170466,Road maintenance,1 lane closed eastbound,Pending,2017-11-28T20:00:00,2018-11-26T02:00:00,other daily works from 07:00 AM to 01:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,BELL STREET ,QUINN STREET ,LIBERTY PARADE ,PRESTON,HEIDELBERG WEST,AH,,"DAREBIN, BANYULE",MELBOURNE METROPOLITAN (CENTRAL),31 C2,79 B5,line,daily works,Greater than 10 min,40,1,7,2018-02-20T06:55:15,2017-11-29T05:36:27,POINT (145.033961224678 -37.7491978128597),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.170470,170470,Road maintenance,1 lane closed westbound,Pending,2017-11-28T20:00:00,2018-11-26T02:00:00,other daily works from 07:00 AM to 01:00 PM. Roadworks speed limit 40 km/h. Traffic delay greater than 10 min. ,BELL STREET ,LIBERTY PARADE ,SWANSTON STREET ,BELLFIELD (GREATER MELBOURNE),PRESTON,AH,,"DAREBIN, BANYULE",MELBOURNE METROPOLITAN (CENTRAL),31 D2,79 B5,line,daily works,Greater than 10 min,40,1,7,2018-02-20T06:55:17,2017-11-29T06:34:53,POINT (145.034264095691 -37.7492754094553),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181404,181404,Road maintenance, road closed,Pending,2018-08-10T10:00:00,2018-09-13T20:00:00,other continuous works 24 hours a day. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,BALLARAT ROAD ,ASHLEY STREET ,DUKE STREET ,BRAYBROOK,BRAYBROOK,AO,,"BRIMBANK, MARIBYRNONG",MELBOURNE METROPOLITAN (CENTRAL),27 F11,78 F6,line,continuous works,0 to 5 min,40,0,1;2;3;4;7,2018-08-21T19:58:11,2018-07-12T01:27:01,POINT (144.856271510185 -37.7802115311152),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181419,181419,Road construction, entry/exit ramp closed,Pending,2018-08-15T10:00:00,2018-08-30T19:00:00,other daily works from 08:00 PM to 05:00 AM. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,WESTERN RING IN-TULLAMARINE OUT RAMP ,WESTERN RING IN-TULLAMARINE IN RAMP ,WESTERN RING IN-TULLAMARINE OUT RAMP ,GOWANBRAE,TULLAMARINE,FW,M80,MORELAND,MELBOURNE METROPOLITAN (CENTRAL),16 B1,78 G5,line,daily works,6 to 10 min,60,0,1;2;3;4;5;7,2018-08-23T02:38:08,2018-07-12T01:45:19,POINT (144.890925873205 -37.7039072499425),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.180795,180795,Road construction,1 lane closed greensborough bound,Pending,2018-06-30T09:00:00,2018-09-02T19:00:00,Full week including weekends - Sunday to Saturday daily works from 07:00 PM to 05:00 AM. Roadworks speed limit 40 km/h. Traffic delay 0 to 5 min. ,PRINCES IN-WESTERN RING OUT RAMP ,DOHERTYS ROAD ,WESTERN RING ROAD ,LAVERTON NORTH,LAVERTON NORTH,FW,M80,WYNDHAM,MELBOURNE METROPOLITAN (CENTRAL),54 C1,436 E10,line,daily works,0 to 5 min,40,1,1;2;3;4;5;7;6,2018-08-22T06:08:55,2018-06-29T10:26:48,POINT (144.815025312728 -37.8288846501),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181405,181405,Road maintenance,all lanes closed westbound,Pending,2018-07-30T10:00:00,2018-09-18T20:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,BALLARAT ROAD ,CHATSWORTH AVENUE ,ESMOND STREET ,ARDEER,ARDEER,AO,,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),26 B9,436 E7,line,daily works,6 to 10 min,40,0,1;2;3;4;5;7;6,2018-08-06T20:00:25,2018-07-12T02:03:48,POINT (144.800600427397 -37.7724341559833),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181406,181406,Road maintenance,all lanes closed westbound,Pending,2018-07-30T10:00:00,2018-09-18T20:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 60 km/h. Traffic delay 6 to 10 min. ,BALLARAT ROAD ,WESTERN RING OUT-WESTERN RAMP OF,CAIRNLEA DRIVE ,DEER PARK,DEER PARK,AO,,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),25 J8,436 D6,line,daily works,6 to 10 min,60,0,1;2;3;4;5;7;6,2018-08-08T18:32:05,2018-07-12T02:11:40,POINT (144.790271179855 -37.7708075752532),2018-08-23T15:13:28,2018-08-23T15:15:30.772
rwe_point.181415,181415,Road maintenance,all lanes closed eastbound,Pending,2018-07-30T10:00:00,2018-09-18T20:00:00,Full week including weekends - Sunday to Saturday daily works from 08:00 PM to 06:00 AM. Roadworks speed limit 40 km/h. Traffic delay 6 to 10 min. ,BALLARAT ROAD ,ESMOND STREET ,CAIRNLEA DRIVE ,ARDEER,DEER PARK,AO,,BRIMBANK,MELBOURNE METROPOLITAN (CENTRAL),25 K8,436 D6,line,daily works,6 to 10 min,40,0,1;2;3;4;5;7;6,2018-08-13T18:29:53,2018-07-12T02:56:26,POINT (144.793891348023 -37.7705403440776),2018-08-23T15:13:28,2018-08-23T15:15:30.772
